Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
21, 36.55662155151367, 36.757293701171875 +/- 0.5501804947853088, 2.2508254051208496 +/- 0.04583793878555298, 8.152926445007324 +/- 0.24628430604934692, 1.230959415435791 +/- 0.0, 0.8744508624076843 +/- 0.003961797337979078, 2.259141683578491 +/- 0.036354146897792816, 1.0126197338104248
22, 36.15129470825195, 36.325660705566406 +/- 0.5220214128494263, 2.238373279571533 +/- 0.04257621988654137, 8.08663558959961 +/- 0.25835272669792175, 1.230959415435791 +/- 0.0, 0.8742293119430542 +/- 0.003724029054865241, 2.136040210723877 +/- 0.03465045616030693, 1.0151431560516357
23, 35.77346420288086, 35.90388488769531 +/- 0.565696120262146, 2.2239835262298584 +/- 0.04390156269073486, 8.0254545211792 +/- 0.2526291310787201, 1.230959415435791 +/- 0.0, 0.8735198378562927 +/- 0.0036420056130737066, 2.0187735557556152 +/- 0.033003389835357666, 1.0150816440582275
24, 35.23393630981445, 35.45404815673828 +/- 0.5349763035774231, 2.2088446617126465 +/- 0.04350772872567177, 7.95047664642334 +/- 0.24047131836414337, 1.230959415435791 +/- 0.0, 0.8735785484313965 +/- 0.003911674953997135, 1.9076762199401855 +/- 0.03133054077625275, 1.015364646911621
25, 34.7904052734375, 34.98181915283203 +/- 0.5576959252357483, 2.188227891921997 +/- 0.04547779634594917, 7.866935729980469 +/- 0.24452832341194153, 1.230959415435791 +/- 0.0, 0.8723989725112915 +/- 0.004483488854020834, 1.8011956214904785 +/- 0.030038122087717056, 1.013852596282959
26, 34.35154724121094, 34.46611022949219 +/- 0.5637779235839844, 2.166398525238037 +/- 0.04545681178569794, 7.768682479858398 +/- 0.2648875415325165, 1.230959415435791 +/- 0.0, 0.8722286224365234 +/- 0.004564417991787195, 1.6994037628173828 +/- 0.028772467747330666, 1.0149061679840088
27, 33.76137924194336, 33.94746780395508 +/- 0.5493173003196716, 2.1427483558654785 +/- 0.043736472725868225, 7.669809818267822 +/- 0.26206839084625244, 1.230959415435791 +/- 0.0, 0.8717917799949646 +/- 0.0043343896977603436, 1.6022793054580688 +/- 0.027155715972185135, 1.0143084526062012
28, 33.25849914550781, 33.409202575683594 +/- 0.5434783697128296, 2.1160550117492676 +/- 0.04352811351418495, 7.570028305053711 +/- 0.24658523499965668, 1.230959415435791 +/- 0.0, 0.8713048100471497 +/- 0.004869414493441582, 1.510005235671997 +/- 0.026205390691757202, 1.015038013458252
29, 32.62321853637695, 32.84929275512695 +/- 0.5437004566192627, 2.089676856994629 +/- 0.04375671222805977, 7.453131675720215 +/- 0.2518293559551239, 1.230959415435791 +/- 0.0, 0.8715206384658813 +/- 0.00592432264238596, 1.4225921630859375 +/- 0.024606358259916306, 1.0143446922302246
30, 32.08164596557617, 32.24049377441406 +/- 0.5597851872444153, 2.0564498901367188 +/- 0.04299613833427429, 7.319643020629883 +/- 0.24823898077011108, 1.230959415435791 +/- 0.0, 0.8706579208374023 +/- 0.005998461041599512, 1.3399085998535156 +/- 0.02325025200843811, 1.0147912502288818
