Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
21, 49.05036926269531, 49.822898864746094 +/- 1.5034422874450684, 3.0339574813842773 +/- 0.13061171770095825, 15.1450834274292 +/- 0.6861196756362915, 1.0471973419189453 +/- 0.0, 0.8716819286346436 +/- 0.017445027828216553, 10.645017623901367 +/- 0.011371809057891369, 1.7017920017242432
22, 48.00190734863281, 48.402587890625 +/- 1.6408275365829468, 2.9637041091918945 +/- 0.1384291797876358, 14.446024894714355 +/- 0.6203734874725342, 1.0471973419189453 +/- 0.0, 0.8715318441390991 +/- 0.01382170058786869, 10.60004997253418 +/- 0.011139248497784138, 1.7031641006469727
23, 46.593353271484375, 46.97270202636719 +/- 1.6167497634887695, 2.8891115188598633 +/- 0.15070556104183197, 13.70515251159668 +/- 0.5685374140739441, 1.0471973419189453 +/- 0.0, 0.8692101240158081 +/- 0.015102919191122055, 10.572103500366211 +/- 0.014289498329162598, 1.7049665451049805
24, 45.21878433227539, 45.6251335144043 +/- 1.7701003551483154, 2.8176493644714355 +/- 0.16494181752204895, 13.026199340820312 +/- 0.5440483689308167, 1.0471973419189453 +/- 0.0, 0.8673186898231506 +/- 0.017518682405352592, 10.525270462036133 +/- 0.007871463894844055, 1.7020103931427002
25, 44.647727966308594, 44.25563049316406 +/- 1.8078991174697876, 2.7520010471343994 +/- 0.16814474761486053, 12.296323776245117 +/- 0.5286493897438049, 1.0471973419189453 +/- 0.0, 0.8663905262947083 +/- 0.015901491045951843, 10.515439987182617 +/- 0.007621453609317541, 1.7043635845184326
26, 42.819026947021484, 43.12153625488281 +/- 1.7957338094711304, 2.688861131668091 +/- 0.16969770193099976, 11.721046447753906 +/- 0.5206630229949951, 1.0471973419189453 +/- 0.0, 0.8640131950378418 +/- 0.017215704545378685, 10.531980514526367 +/- 0.008535811677575111, 1.7012765407562256
27, 42.23072052001953, 42.068397521972656 +/- 2.0791075229644775, 2.6270315647125244 +/- 0.20097221434116364, 11.17093276977539 +/- 0.5480199456214905, 1.0471973419189453 +/- 0.0, 0.8601431846618652 +/- 0.017496870830655098, 10.562164306640625 +/- 0.009025275707244873, 1.7036852836608887
28, 41.3525276184082, 41.140525817871094 +/- 2.100903034210205, 2.572242259979248 +/- 0.19877392053604126, 10.71156120300293 +/- 0.5114682912826538, 1.0471973419189453 +/- 0.0, 0.8572732210159302 +/- 0.014153702184557915, 10.597665786743164 +/- 0.015847695991396904, 1.7014198303222656
29, 40.927486419677734, 40.42037582397461 +/- 2.0565168857574463, 2.527892589569092 +/- 0.20225393772125244, 10.324806213378906 +/- 0.5066842436790466, 1.0471973419189453 +/- 0.0, 0.854392409324646 +/- 0.017006464302539825, 10.67024040222168 +/- 0.031879644840955734, 1.7024586200714111
30, 40.18581008911133, 39.7567138671875 +/- 2.2901008129119873, 2.4826295375823975 +/- 0.22037875652313232, 10.032609939575195 +/- 0.4849564731121063, 1.0471973419189453 +/- 0.0, 0.8521065711975098 +/- 0.015186980366706848, 10.750003814697266 +/- 0.022606518119573593, 1.708761215209961
31, 39.55812072753906, 39.170780181884766 +/- 2.119443416595459, 2.4513416290283203 +/- 0.21254457533359528, 9.773216247558594 +/- 0.42669442296028137, 1.0471973419189453 +/- 0.0, 0.8534187078475952 +/- 0.016144385561347008, 10.837907791137695 +/- 0.019998131319880486, 1.7088696956634521
32, 39.646644592285156, 38.71705627441406 +/- 2.209047555923462, 2.4130115509033203 +/- 0.21429336071014404, 9.650812149047852 +/- 0.4463788866996765, 1.0471973419189453 +/- 0.0, 0.8519636392593384 +/- 0.014246389269828796, 10.897441864013672 +/- 0.014339754357933998, 1.7045567035675049
33, 39.31826400756836, 38.2142219543457 +/- 2.0624852180480957, 2.387505531311035 +/- 0.20059140026569366, 9.393653869628906 +/- 0.3976016938686371, 1.0471973419189453 +/- 0.0, 0.8518363237380981 +/- 0.014560776762664318, 10.916243553161621 +/- 0.003815131261944771, 1.7083632946014404
34, 37.832862854003906, 37.85602569580078 +/- 2.16115665435791, 2.365447521209717 +/- 0.21671313047409058, 9.366239547729492 +/- 0.35481178760528564, 1.0471973419189453 +/- 0.0, 0.8555843234062195 +/- 0.014497949741780758, 10.914825439453125 +/- 0.006273301783949137, 1.709792137145996
35, 37.75999450683594, 37.426673889160156 +/- 2.0433788299560547, 2.3295738697052 +/- 0.2006925642490387, 9.203970909118652 +/- 0.37610822916030884, 1.0471973419189453 +/- 0.0, 0.8522364497184753 +/- 0.01394574623554945, 10.896443367004395 +/- 0.017810605466365814, 1.7096800804138184
36, 37.36821746826172, 37.16587829589844 +/- 2.0565547943115234, 2.3071930408477783 +/- 0.2026137113571167, 9.177101135253906 +/- 0.36294376850128174, 1.0471973419189453 +/- 0.0, 0.8523850440979004 +/- 0.015602998435497284, 10.853944778442383 +/- 0.013096577487885952, 1.7082233428955078
37, 36.95619583129883, 36.74964904785156 +/- 2.0080583095550537, 2.276599884033203 +/- 0.19826938211917877, 9.019052505493164 +/- 0.3252321183681488, 1.0471973419189453 +/- 0.0, 0.8500452041625977 +/- 0.013072043657302856, 10.795478820800781 +/- 0.015368260443210602, 1.7074565887451172
38, 36.684791564941406, 36.484161376953125 +/- 2.115168809890747, 2.259622573852539 +/- 0.21297834813594818, 9.018174171447754 +/- 0.3223355710506439, 1.0471973419189453 +/- 0.0, 0.8529260754585266 +/- 0.014030897058546543, 10.747983932495117 +/- 0.012369459494948387, 1.70888090133667
39, 36.81649398803711, 36.120147705078125 +/- 2.177345037460327, 2.228386878967285 +/- 0.21111509203910828, 8.891361236572266 +/- 0.3241409361362457, 1.0471973419189453 +/- 0.0, 0.8499934077262878 +/- 0.01514019351452589, 10.687186241149902 +/- 0.021880632266402245, 1.7084131240844727
40, 36.48796844482422, 35.899009704589844 +/- 2.245633363723755, 2.2119534015655518 +/- 0.21318930387496948, 8.889500617980957 +/- 0.4781167507171631, 1.0471973419189453 +/- 0.0, 0.8514540195465088 +/- 0.015111143700778484, 10.642194747924805 +/- 0.00617462582886219, 1.7091023921966553
41, 35.47193908691406, 35.5902214050293 +/- 2.338346004486084, 2.1839160919189453 +/- 0.23578448593616486, 8.858758926391602 +/- 0.5539023280143738, 1.0471973419189453 +/- 0.0, 0.8511868119239807 +/- 0.014504254795610905, 10.626910209655762 +/- 0.018604835495352745, 1.7083308696746826
42, 35.79240798950195, 35.22491455078125 +/- 2.316148281097412, 2.1613283157348633 +/- 0.23350369930267334, 8.716300964355469 +/- 0.4155255854129791, 1.0471973419189453 +/- 0.0, 0.8507971167564392 +/- 0.016705317422747612, 10.565107345581055 +/- 0.014727486297488213, 1.7073967456817627
43, 34.94894027709961, 34.81031799316406 +/- 2.3378655910491943, 2.1374411582946777 +/- 0.23201489448547363, 8.581743240356445 +/- 0.4642575979232788, 1.0471973419189453 +/- 0.0, 0.851452112197876 +/- 0.016036199405789375, 10.487191200256348 +/- 0.03580286353826523, 1.7057514190673828
