Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
20, 75.39679718017578, 75.77204132080078 +/- 2.635932445526123, 4.396010398864746 +/- 0.1842619776725769, 30.57335662841797 +/- 1.4459823369979858, 1.1155225038528442 +/- 0.0006031443481333554, 0.9231866598129272 +/- 0.021234117448329926, 10.342485427856445 +/- 0.0658603385090828, 1.0151760578155518
21, 71.20015716552734, 72.12808990478516 +/- 2.388291597366333, 4.224426746368408 +/- 0.17511525750160217, 28.58993911743164 +/- 1.1708773374557495, 1.1175792217254639 +/- 0.000553606660105288, 0.9187772870063782 +/- 0.02031845785677433, 10.58201789855957 +/- 0.07275407761335373, 1.013711929321289
22, 67.58807373046875, 68.58036804199219 +/- 2.175523519515991, 4.060244560241699 +/- 0.16179797053337097, 26.664222717285156 +/- 1.1016192436218262, 1.1196253299713135 +/- 0.0006180005148053169, 0.9178330898284912 +/- 0.023686431348323822, 10.843356132507324 +/- 0.07810386270284653, 1.0145344734191895
23, 63.40127944946289, 65.05560302734375 +/- 2.2370126247406006, 3.8988571166992188 +/- 0.1589166820049286, 24.720630645751953 +/- 1.00966477394104, 1.1216769218444824 +/- 0.0005740356282331049, 0.9154574871063232 +/- 0.024404210969805717, 11.133399963378906 +/- 0.08710275590419769, 1.0162761211395264
24, 60.547630310058594, 61.664642333984375 +/- 1.840865135192871, 3.7494993209838867 +/- 0.14079304039478302, 22.797645568847656 +/- 0.7832414507865906, 1.1237200498580933 +/- 0.0006070080562494695, 0.9123431444168091 +/- 0.020427078008651733, 11.438949584960938 +/- 0.08991286903619766, 1.016876459121704
25, 57.5512580871582, 58.72043991088867 +/- 1.7142738103866577, 3.5873804092407227 +/- 0.14068622887134552, 21.135162353515625 +/- 0.6974813342094421, 1.125760793685913 +/- 0.0005639757146127522, 0.8938278555870056 +/- 0.018002301454544067, 11.762402534484863 +/- 0.09307943284511566, 1.0170295238494873
26, 55.04069519042969, 56.504859924316406 +/- 1.5366016626358032, 3.4409403800964355 +/- 0.13111798465251923, 19.999099731445312 +/- 0.6298964023590088, 1.1277966499328613 +/- 0.0005646352656185627, 0.8771172761917114 +/- 0.021093783900141716, 12.088736534118652 +/- 0.09795571118593216, 1.0165619850158691
27, 53.560020446777344, 54.668399810791016 +/- 1.4324228763580322, 3.322205066680908 +/- 0.11068926751613617, 19.02374267578125 +/- 0.7070009708404541, 1.1298407316207886 +/- 0.0005915859946981072, 0.8637028932571411 +/- 0.018159333616495132, 12.437551498413086 +/- 0.10713138431310654, 1.01692533493042
28, 51.92157745361328, 53.01551055908203 +/- 1.5357396602630615, 3.2302656173706055 +/- 0.11006058752536774, 18.06454849243164 +/- 0.7627004384994507, 1.1319042444229126 +/- 0.0005862793768756092, 0.8552008867263794 +/- 0.01719849184155464, 12.819465637207031 +/- 0.11654603481292725, 1.016721248626709
29, 50.797340393066406, 51.434410095214844 +/- 1.393790364265442, 3.161530017852783 +/- 0.10102806240320206, 17.166364669799805 +/- 0.8458014726638794, 1.1339662075042725 +/- 0.0006062281900085509, 0.8548200130462646 +/- 0.018098745495080948, 13.211882591247559 +/- 0.10783741623163223, 1.0171163082122803
